order,domain,arm,channel,dice_percent
1,REFUGE,K_ALL,OD,90.9315382754723
1,REFUGE,K_ALL,OC,80.85004012264623
1,REFUGE,K_ALL,macro,85.89078919905926
1,REFUGE,K_MAG,OD,91.0432113105612
1,REFUGE,K_MAG,OC,81.06838790032933
1,REFUGE,K_MAG,macro,86.05579960544526
1,REFUGE,K_FREE,OD,91.0128820220096
1,REFUGE,K_FREE,OC,81.01257799693781
1,REFUGE,K_FREE,macro,86.01273000947371
1,REFUGE,G_BOUND,OD,91.12803221668086
1,REFUGE,G_BOUND,OC,81.45786818309455
1,REFUGE,G_BOUND,macro,86.29295019988771
1,REFUGE,G_CONST,OD,91.08590131339282
1,REFUGE,G_CONST,OC,81.43114484381616
1,REFUGE,G_CONST,macro,86.2585230786045
1,REFUGE,G_SHUFFLE,OD,91.08764216871067
1,REFUGE,G_SHUFFLE,OC,81.4312442955817
1,REFUGE,G_SHUFFLE,macro,86.2594432321462
1,REFUGE,G_GLOBAL,OD,91.15332925074033
1,REFUGE,G_GLOBAL,OC,81.52938590358897
1,REFUGE,G_GLOBAL,macro,86.34135757716464
1,ORIGA,C,OD,87.84554846283864
1,ORIGA,C,OC,69.85253871598225
1,ORIGA,C,macro,78.84904358941044
1,ORIGA,RP,OD,87.7881006637253
1,ORIGA,RP,OC,70.55086695193681
1,ORIGA,RP,macro,79.16948380783106
1,ORIGA,MT,OD,85.3902954104587
1,ORIGA,MT,OC,67.39126799382946
1,ORIGA,MT,macro,76.39078170214408
1,ORIGA,MT_RP,OD,85.34162226497533
1,ORIGA,MT_RP,OC,68.14760019538772
1,ORIGA,MT_RP,macro,76.74461123018153
1,ORIGA,FT,OD,81.3569595991354
1,ORIGA,FT,OC,63.090369753457516
1,ORIGA,FT,macro,72.22366467629644
1,ORIGA,FT_RP,OD,81.28056245631552
1,ORIGA,FT_RP,OC,63.88414790223072
1,ORIGA,FT_RP,macro,72.58235517927312
1,ORIGA,KDG,OD,87.99061374446434
1,ORIGA,KDG,OC,69.96799874014896
1,ORIGA,KDG,macro,78.97930624230665
1,ORIGA,K_ALL,OD,88.00315217231537
1,ORIGA,K_ALL,OC,70.00538366568802
1,ORIGA,K_ALL,macro,79.00426791900169
1,ORIGA,K_MAG,OD,87.85317996710846
1,ORIGA,K_MAG,OC,69.84462561989713
1,ORIGA,K_MAG,macro,78.84890279350279
1,ORIGA,K_FREE,OD,87.89329814145053
