order,subset,arm,OD,OC,macro
3,remaining_dev,G_CONST,89.08668673412627,69.1779378887974,79.13231231146185
3,remaining_dev,G_SHUFFLE,89.0877773724537,69.17909938780846,79.13343838013108
3,remaining_dev,G_GLOBAL,89.06685374948984,69.2674965449366,79.16717514721321
3,legacy_dev,C,88.50926465998882,70.31154367713532,79.41040416856207
3,legacy_dev,RP,88.49060879988235,71.30392586124164,79.89726733056199
3,legacy_dev,MT,87.08540299894591,69.96561680651988,78.52550990273289
3,legacy_dev,MT_RP,87.03614545212453,70.84170384059017,78.93892464635735
3,legacy_dev,FT,84.98282133226145,69.17722951231792,77.08002542228968
3,legacy_dev,FT_RP,84.90521894029732,69.76025501431445,77.33273697730588
3,legacy_dev,KDG,88.57546545042754,70.41205483074341,79.49376014058548
3,legacy_dev,K_ALL,88.57043308407964,70.38174639868407,79.47608974138186
3,legacy_dev,K_MAG,88.5111391153716,70.32711682794452,79.41912797165807
3,legacy_dev,K_FREE,88.52700270254785,70.33069948141548,79.42885109198167
3,legacy_dev,G_BOUND,88.54955140489999,70.05052657417814,79.30003898953905
3,legacy_dev,G_CONST,88.55211965050435,69.97688216791181,79.26450090920808
3,legacy_dev,G_SHUFFLE,88.55264795862124,69.97596777823365,79.26430786842744
3,legacy_dev,G_GLOBAL,88.54402943698753,70.05412434758404,79.29907689228577
3,p1_extension_dev,C,89.4940243700478,70.36891360653243,79.9314689882901
3,p1_extension_dev,RP,89.47690707836364,71.49611626647949,80.48651167242156
3,p1_extension_dev,MT,87.86439937479508,69.76220963733059,78.81330450606282
3,p1_extension_dev,MT_RP,87.82409055046578,70.72298612099301,79.2735383357294
3,p1_extension_dev,FT,85.4982412652094,68.69474644831335,77.09649385676138
3,p1_extension_dev,FT_RP,85.45198916385581,69.31239754241122,77.38219335313352
3,p1_extension_dev,KDG,89.57911873017248,70.47509327144611,80.0271060008093
3,p1_extension_dev,K_ALL,89.56988145906192,70.41881430594256,79.99434788250224
3,p1_extension_dev,K_MAG,89.49752838781781,70.38361369909452,79.94057104345617
3,p1_extension_dev,K_FREE,89.51106103264165,70.39351284804619,79.95228694034392
3,p1_extension_dev,G_BOUND,89.5154517302199,70.07872673474168,79.79708923248079
3,p1_extension_dev,G_CONST,89.5222968805299,69.99761021057168,79.75995354555079
3,p1_extension_dev,G_SHUFFLE,89.52345245651568,70.00026469549076,79.76185857600322
3,p1_extension_dev,G_GLOBAL,89.4945221227134,70.08430028508215,79.78941120389777
3,all_dev,C,89.0623168292694,70.16845161655945,79.61538422291443
3,all_dev,RP,89.0459633885568,71.31447856084401,80.18022097470039
3,all_dev,MT,87.65584317569846,69.77269788181465,78.71427052875654
3,all_dev,MT_RP,87.61780690449724,70.76326195509614,79.19053442979668
3,all_dev,FT,85.45888835783646,68.81168935226341,77.13528885504992
3,all_dev,FT_RP,85.39499314163692,69.43249037318571,77.41374175741133
3,all_dev,KDG,89.12849372756196,70.25530612601032,79.69189992678615
3,all_dev,K_ALL,89.12059200622147,70.20518009948674,79.6628860528541
3,all_dev,K_MAG,89.0645433681056,70.1817651165382,79.6231542423219
3,all_dev,K_FREE,89.0776167728447,70.17866730188156,79.62814203736313
3,all_dev,G_BOUND,89.09612966312791,69.87208827202109,79.48410896757449
3,all_dev,G_CONST,89.10002936816298,69.79420802411634,79.44711869613965
3,all_dev,G_SHUFFLE,89.10074638365937,69.79583135459018,79.44828886912477
3,all_dev,G_GLOBAL,89.08573120574975,69.87298848513731,79.47935984544353
4,remaining_dev,C,86.46234542156945,69.37999322350026,77.92116932253487
4,remaining_dev,RP,86.38982771158175,69.34753848877598,77.86868310017887
4,remaining_dev,MT,86.23103379574418,69.28437953635286,77.75770666604852
4,remaining_dev,MT_RP,86.20220600388345,69.30876634789638,77.75548617588991
4,remaining_dev,FT,85.18169338555603,68.45660102582609,76.81914720569108
4,remaining_dev,FT_RP,85.17038019825611,68.57037610338529,76.8703781508207
4,remaining_dev,KDG,86.5032297369804,69.3647414994163,77.93398561819835
4,remaining_dev,K_ALL,86.4913831597475,69.37018751771707,77.93078533873229
4,remaining_dev,K_MAG,86.46376078810773,69.37852811778617,77.92114445294695
4,remaining_dev,K_FREE,86.47699647469102,69.39456750830085,77.93578199149593
4,remaining_dev,G_BOUND,86.43940355555493,69.42493833490545,77.9321709452302
4,remaining_dev,G_CONST,86.4022352237714,69.40797793981741,77.9051065817944
