order,scope,pair,channel,n,mean,median,p10,p90,positive,zero,negative,minimum,worst_decile_mean,tail_count,assd_common_valid,assd_not_jointly_defined,assd_left_undefined,assd_right_undefined,assd_delta_mean_px,assd_delta_median_px,assd_adverse_upper_decile_mean_px
1,ORIGA,G_BOUND-G_GLOBAL,OC,586,0.04735676657879485,0.05495655545783018,-0.1259459388607942,0.19985712787847776,391,0,195,-0.33098144842615973,-0.18454885225848228,59,586,0,0,0,-0.020023476218141226,-0.015769951735665977,0.1812169467697784
1,ORIGA,G_BOUND-G_GLOBAL,macro,586,0.033356988097693184,0.03949705324275965,-0.08861904944579835,0.14134122422934103,394,0,192,-0.267322899444955,-0.12927224067899712,59,,,,,,,
1,REFUGE_Valid,RP-C,OD,736,-0.24129513034203617,-0.24725165075492606,-0.46196194183751316,-0.018299217232164988,51,0,685,-0.9088468055146182,-0.5278922853240673,74,736,0,0,0,0.16464097244118686,0.2054886461762644,0.7788649215306984
1,REFUGE_Valid,RP-C,OC,736,-0.3802112021265811,-0.3523896355140277,-0.8058469478399832,-0.024083323153056835,49,0,687,-1.4363595279349717,-0.9601855128592167,74,736,0,0,0,0.26909024340929405,0.2381188760651849,0.8808603125785136
1,REFUGE_Valid,RP-C,macro,736,-0.310753166234309,-0.30618674038383475,-0.6156852818340108,-0.025280563430030156,46,0,690,-0.8951308719805651,-0.6901982262321535,74,,,,,,,
1,REFUGE_Valid,MT-C,OD,736,2.1017793777221727,2.003809922783484,0.23696054489231733,4.356786618306291,686,0,50,-3.3451358376598517,-0.3607339449894542,74,736,0,0,0,-1.4415960366593568,-1.4760030665311281,3.683312028730436
1,REFUGE_Valid,MT-C,OC,736,1.234649617663176,1.2366411054538229,0.3625587429507693,2.279065501166977,693,0,43,-2.6445288327767824,-0.39389189649107026,74,736,0,0,0,-0.7826295675551166,-0.7068753285886658,0.32635617479870405
1,REFUGE_Valid,MT-C,macro,736,1.6682144976926738,1.6098699084854395,0.3505502298224994,3.258327729510185,705,0,31,-2.977258794638016,-0.07210457457816584,74,,,,,,,
1,REFUGE_Valid,MT_RP-C,OD,736,1.9677670407261902,1.8566761927060305,0.22520671970169825,4.090214727485531,687,0,49,-3.183362152524627,-0.32789107131557654,74,736,0,0,0,-1.4315121745861807,-1.4285785231842842,2.9153146733204
1,REFUGE_Valid,MT_RP-C,OC,736,0.9358382049831933,0.9256758733668435,0.29927872902429375,1.6375233277700574,691,0,45,-2.149202197754363,-0.3141254884878512,74,736,0,0,0,-0.5809871982674794,-0.518212124841412,0.2905330323024252
1,REFUGE_Valid,MT_RP-C,macro,736,1.4518026228546914,1.3977834019973712,0.32500258494702616,2.8400448442851056,705,0,31,-2.5405598042421818,-0.04158698894321042,74,,,,,,,
1,REFUGE_Valid,FT-C,OD,736,3.0591782902252094,2.663788771489062,-0.10113385307829459,7.275558991120978,655,0,81,-5.812612593604816,-1.401069918986351,74,736,0,0,0,-0.7274524506120897,-1.4765814060613747,12.26162529916184
1,REFUGE_Valid,FT-C,OC,736,2.4489149290278664,2.411516954552945,0.19513852204568471,5.0633891740539445,674,0,62,-5.6651881844098195,-1.3358189683464012,74,736,0,0,0,-1.5187004898536138,-1.3402752745110686,0.8810674295893606
1,REFUGE_Valid,FT-C,macro,736,2.7540466096265375,2.4997773754301953,0.237477995624924,6.001257628349083,678,0,58,-5.43912426222154,-0.7084276353619317,74,,,,,,,
1,REFUGE_Valid,FT_RP-C,OD,736,3.034182175176693,2.6395456739949417,-0.09309613168138053,7.2716768545564525,651,0,85,-5.777781278235928,-1.3744511280022043,74,736,0,0,0,-0.7987273646643268,-1.4986682622164098,11.643552239213438
1,REFUGE_Valid,FT_RP-C,OC,736,2.2371324631552305,2.1624823695645614,0.20419881799716433,4.643334930493065,672,0,64,-5.4809567089899485,-1.2362203069747433,74,736,0,0,0,-1.3692986188475649,-1.209339870654269,0.8149298163226706
1,REFUGE_Valid,FT_RP-C,macro,736,2.635657319165962,2.3652353205383947,0.2564847504847034,5.722478231795441,679,0,57,-5.201163791320596,-0.6683722703273971,74,,,,,,,
1,REFUGE_Valid,KDG-C,OD,736,-0.049886691061351,-0.053844899167998506,-0.2100873876424325,0.10884910036217943,260,1,475,-1.2048468973531734,-0.3237305175219555,74,736,0,0,0,0.058825980289052414,0.05471021079576399,0.8619433188384823
1,REFUGE_Valid,KDG-C,OC,736,-0.017326213690157993,-0.02770936893612963,-0.15205386455807157,0.10547677689063395,289,8,439,-0.5697778285324584,-0.21093963487677145,74,736,0,0,0,0.004123448716087012,0.008851182121577317,0.2711366138150003
1,REFUGE_Valid,KDG-C,macro,736,-0.03360645237575471,-0.036242877670111806,-0.16529250763825942,0.08529782408012165,258,0,478,-0.6210841562631964,-0.22362660676075807,74,,,,,,,
