job,arm,order,records,worker_seconds,host_seconds,pipeline_seconds,peak_allocated_bytes,peak_bank_state_bytes,peak_context_tensor_bytes,peak_slots,context_created,context_switches,context_overflows,context_load_seconds,network_forwards,loss_backward_calls,jacobian_vjp_calls,adam_calls,actual_parameter_replacements
o2a5,U_PCA,2,1951,1449.6687284430955,1297.8003709604964,1445.7057691821828,832226304,77056,0,0,0,0,0,0.0,15608,1951,15450,1951,1935
o2a4,T_DIAG,2,1951,1363.5901036050636,1210.3090088502504,1359.5716736973263,675395072,77056,0,0,0,0,0,0.0,17559,1951,0,1951,0
o2a7,U_SCALE,2,1951,1442.0619873350952,1288.5160687919706,1437.8805904367473,832226304,77056,0,0,0,0,0,0.0,15608,1951,15452,1951,1935
o2a6,U_RAND,2,1951,1439.9341328141745,1288.6536990466993,1435.9344885002356,832226304,77056,0,0,0,0,0,0.0,15608,1951,15450,1951,1935
o2a9,S_SHARED,2,1951,1347.4186416820157,1194.0324758074712,1343.3051599550527,723890688,77056,309248,3,3,641,28,0.5478461007587612,17559,1951,0,1951,0
o2a8,S_JOINT,2,1951,1374.64143191115,1223.0545832200442,1370.5815399256535,723890688,77056,999128,3,3,641,28,21.111059649148956,17559,1951,0,1951,642
o2a11,M_TRANSPORT,2,1951,1256.8546345350333,1103.7816511413548,1252.6578518082388,632860160,77056,0,0,0,0,0,0.0,15608,1951,0,1951,0
o2a10,S_NOPCA,2,1951,1375.4560313730035,1223.3563147967216,1371.1820390888024,673297920,77056,999128,3,3,641,28,17.596647322410718,17559,1951,0,1951,642
o2a13,M_SHUFFLE,2,1951,1303.8852856238373,1150.720216496149,1299.8301463783719,632860160,77056,0,0,0,0,0,0.0,15608,1951,0,1951,0
o2a12,M_IDPOST,2,1951,1283.1442809230648,1130.5152173817623,1279.0385162509046,632860160,77056,0,0,0,0,0,0.0,15608,1951,0,1951,0
