order,subset,domain,arm,n,OD,OC,macro
2,legacy_dev,REFUGE,C_PCA_GLOBAL,32,90.54071469259674,82.55301139915584,86.5468630458763
2,legacy_dev,REFUGE,C_PCA_SHUFFLED,32,90.54144710144072,82.55098353419191,86.54621531781632
2,legacy_dev,REFUGE,C_PCA_REGION,32,90.44766190835605,82.45514351858905,86.45140271347255
2,legacy_dev,ORIGA,C,32,83.62166557806793,70.08592018424376,76.85379288115584
2,legacy_dev,ORIGA,C_PER256,32,81.71263950868294,67.96837807673357,74.84050879270826
2,legacy_dev,ORIGA,C_SENS,32,83.62166557806793,70.08592018424376,76.85379288115584
2,legacy_dev,ORIGA,C_PCA_GLOBAL,32,83.65068142942816,70.100550244331,76.87561583687959
2,legacy_dev,ORIGA,C_PCA_SHUFFLED,32,83.65375859238218,70.09994731017915,76.87685295128065
2,legacy_dev,ORIGA,C_PCA_REGION,32,83.63938415207033,70.21485319429756,76.92711867318394
2,legacy_dev,REFUGE_Valid,C,32,79.9091975641444,60.56189269325118,70.2355451286978
2,legacy_dev,REFUGE_Valid,C_PER256,32,84.60233697305102,65.02261106891716,74.8124740209841
2,legacy_dev,REFUGE_Valid,C_SENS,32,79.9091975641444,60.56189269325118,70.2355451286978
2,legacy_dev,REFUGE_Valid,C_PCA_GLOBAL,32,79.40921454144384,60.380180302601076,69.89469742202246
2,legacy_dev,REFUGE_Valid,C_PCA_SHUFFLED,32,79.4181375637126,60.39775793526254,69.90794774948756
2,legacy_dev,REFUGE_Valid,C_PCA_REGION,32,79.59738733933274,59.79063186854328,69.69400960393801
2,legacy_dev,Drishti_GS,C,32,90.56013278394731,66.72038555762366,78.64025917078547
2,legacy_dev,Drishti_GS,C_PER256,32,87.49860011843694,64.6333847751256,76.06599244678127
2,legacy_dev,Drishti_GS,C_SENS,32,90.56013278394731,66.72038555762366,78.64025917078547
2,legacy_dev,Drishti_GS,C_PCA_GLOBAL,32,90.63496467703462,66.69371868564691,78.66434168134076
2,legacy_dev,Drishti_GS,C_PCA_SHUFFLED,32,90.63430117417361,66.67894675824931,78.65662396621147
2,legacy_dev,Drishti_GS,C_PCA_REGION,32,90.53524366965557,67.36158234839043,78.948413009023
2,p1_extension_dev,REFUGE,C,32,90.13381006952463,81.92960090008891,86.03170548480678
2,p1_extension_dev,REFUGE,C_PER256,32,87.9085278421685,82.17487501740399,85.04170142978624
2,p1_extension_dev,REFUGE,C_SENS,32,90.13381006952463,81.92960090008891,86.03170548480678
2,p1_extension_dev,REFUGE,C_PCA_GLOBAL,32,90.1937856426245,81.905805059348,86.04979535098624
2,p1_extension_dev,REFUGE,C_PCA_SHUFFLED,32,90.19212495215365,81.90413344143697,86.0481291967953
2,p1_extension_dev,REFUGE,C_PCA_REGION,32,90.10644708963667,81.93795119572238,86.02219914267953
2,p1_extension_dev,ORIGA,C,32,84.63892088725288,67.6032579258754,76.12108940656415
2,p1_extension_dev,ORIGA,C_PER256,32,79.0936777294622,61.22743081998063,70.16055427472142
2,p1_extension_dev,ORIGA,C_SENS,32,84.63892088725288,67.6032579258754,76.12108940656415
2,p1_extension_dev,ORIGA,C_PCA_GLOBAL,32,84.68626685928635,67.61739432758517,76.15183059343576
2,p1_extension_dev,ORIGA,C_PCA_SHUFFLED,32,84.68944510836599,67.61937547514722,76.1544102917566
2,p1_extension_dev,ORIGA,C_PCA_REGION,32,84.66047133818563,67.78448090273457,76.2224761204601
