stream,control,channel,domain,block_type,block,phase,first_visit,all_arrivals,prior_domain_exposures,domain_occurrence,gap_since_domain_visit,is_switch_segment,metric,inferential_status,n_rows,n_unique,n_defined,n_missing,support,mean,median,p10,p90,minimum,worst_decile_mean,tail_count,positive,negative,zero,weight_sum,weighted_conditional_mean,signed_net,positive_mass,negative_mass,macro_contribution,primary_contribution,null_reason
0,R_SCALE,OC,ORIGA,segment,2,all,401,650,0,1,,True,delta_post,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.05937934552914337,0.05584889218025069,-1.0946183840728239,1.1689353453897802,-3.243346337398421,-1.5562191208283755,59,314,272,0,0.25,0.05937934552914337,0.014844836382285842,0.09989597473209674,-0.0850511383498109,0.007422418191142921,0.0037112090955714605,
0,R_SHUFFLE,OC,ORIGA,segment,2,all,401,650,0,1,,True,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.06249455307237958,0.043751494794094015,-1.0837445154211842,1.1730099026225531,-3.2695008097176697,-1.5430445550744147,59,299,287,0,0.25,0.06249455307237958,0.015623638268094896,0.09884520700308669,-0.08322156873499179,0.007811819134047448,0.003905909567023724,
0,R_SHUFFLE,OC,ORIGA,segment,2,all,401,650,0,1,,True,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.002845027408664275,0.00024156070777081595,-0.03646769591303567,0.03098300054097436,-1.9772050328599988,-0.1156154737152193,59,297,287,2,0.25,-0.0028450274086642747,-0.0007112568521660687,0.0034868773834379712,-0.00419813423560404,-0.00035562842608303434,-0.00017781421304151717,
0,R_SHUFFLE,OC,ORIGA,segment,2,all,401,650,0,1,,True,delta_post,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.05964952566371531,0.03087405982127578,-1.071001914097046,1.173734065058511,-2.9636026810710234,-1.5399013725581514,59,303,283,0,0.25,0.059649525663715314,0.014912381415928828,0.09764947770541269,-0.08273709628948385,0.007456190707964414,0.003728095353982207,
0,C,macro,ORIGA,segment,2,all,401,650,0,1,,True,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.7574100359634105,0.7288048761995238,-1.0559979589471595,2.635150452158012,-5.329559521348614,-1.953356332343777,59,419,167,0,0.25,0.7574100359634105,0.18935250899085262,0.2586648172366484,-0.0693123082457958,0.18935250899085262,0.09467625449542631,
0,C,macro,ORIGA,segment,2,all,401,650,0,1,,True,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.0007447493650555785,0.0019944411869587952,-0.02003840351381747,0.026369405384077282,-1.7405410033397857,-0.09352933715773804,59,319,267,0,0.25,-0.0007447493650555782,-0.00018618734126389454,0.0028973343795989214,-0.003083521720862816,-0.00018618734126389454,-9.309367063194727e-05,
0,C,macro,ORIGA,segment,2,all,401,650,0,1,,True,delta_post,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.756665286598355,0.7339361923264995,-1.0599337754369422,2.634363354658216,-5.176936724678555,-1.9528965583174773,59,421,165,0,0.25,0.756665286598355,0.18916632164958874,0.2582371626506209,-0.06907084100103217,0.18916632164958874,0.09458316082479437,
0,R_SCALE,macro,ORIGA,segment,2,all,401,650,0,1,,True,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.03965882430180071,0.06101681918284285,-0.7489379334506623,0.79966879695038,-2.5953738053779247,-1.1412431600259603,59,311,275,0,0.25,0.03965882430180071,0.009914706075450178,0.06781504558124368,-0.057900339505793506,0.009914706075450178,0.004957353037725089,
0,R_SCALE,macro,ORIGA,segment,2,all,401,650,0,1,,True,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.0007475767611055707,0.0009168768390459547,-0.01903429521104627,0.02156267072526319,-0.9074641714196297,-0.06543668048593307,59,311,275,0,0.25,0.0007475767611055709,0.00018689419027639274,0.0024686601712568643,-0.0022817659809804716,0.00018689419027639274,9.344709513819637e-05,
0,R_SCALE,macro,ORIGA,segment,2,all,401,650,0,1,,True,delta_post,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.04040640106290628,0.0602307473877417,-0.727042418346354,0.7966568103675034,-2.4456787650096246,-1.1234961390348626,59,312,274,0,0.25,0.040406401062906286,0.010101600265726571,0.06740631832570065,-0.057304718059974086,0.010101600265726571,0.005050800132863286,
