contrast,control,domain,channel,metric,inferential_status,n_rows,n_unique,n_defined,n_missing,support,mean,median,p10,p90,minimum,worst_decile_mean,tail_count,positive,negative,zero,weight_sum,weighted_conditional_mean,signed_net,positive_mass,negative_mass,macro_contribution,primary_contribution,null_reason
1-0,C,ALL,macro,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.0043711268206746865,0.0035198948903172322,-0.02852553768645407,0.0343410129146065,-0.24967399268935964,-0.05986709610757883,170,967,728,0,1.0,0.0034667342387772445,0.0034667342387772445,0.012849340077100702,-0.009382605838323456,0.0034667342387772445,,
1-0,C,ALL,macro,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,2.265945151789601,0.7218160061372387,-2.154289310696997,8.550765206415623,-7.781159893709461,-3.074564854115979,170,977,718,0,1.0,0.5191281627088218,0.5191281627088218,1.8124105339717862,-1.2932823712629642,0.5191281627088218,,
1-0,C,Drishti_GS,macro,delta_pre,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,-2.7687063967249355,-3.772612027158811,-4.6227363311425105,1.7697792847987828,-4.920559605033091,-4.739666700077339,4,5,32,0,0.25,-2.7687063967249355,-0.6921765991812339,0.11250371042120667,-0.8046803096024405,-0.6921765991812339,,
1-0,C,Drishti_GS,macro,delta_step,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,0.004173236369461661,0.00352203339853574,-0.02377625308546456,0.032931060954022935,-0.035026172413541445,-0.032214599822300016,4,20,17,0,0.25,0.004173236369461662,0.0010433090923654155,0.0028806648990911603,-0.001837355806725745,0.0010433090923654155,,
1-0,C,Drishti_GS,macro,delta_post,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,-2.7645331603554735,-3.7687607843746456,-4.61392119394956,1.7699211131714747,-4.898960785758025,-4.73285312635431,4,5,32,0,0.25,-2.764533160355474,-0.6911332900888685,0.11251678809596585,-0.8036500781848344,-0.6911332900888685,,
1-0,C,ORIGA,macro,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.8893142646167522,-0.9235250329072144,-2.713824168794403,1.0929242676560076,-7.6169193852749455,-3.458853553817127,59,159,427,0,0.25,-0.8893142646167522,-0.22232856615418806,0.07360915446217094,-0.295937720616359,-0.22232856615418806,,
1-0,C,ORIGA,macro,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.0028495396984176318,0.0005159777598180426,-0.032383291810131,0.03174169996315612,-0.21931593259237303,-0.06969950184696307,59,298,288,0,0.25,0.0028495396984176313,0.0007123849246044078,0.0037386983111835823,-0.0030263133865791746,0.0007123849246044078,,
1-0,C,ORIGA,macro,delta_post,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.8864647249183346,-0.924979227221618,-2.7024358028833575,1.0837162833976883,-6.093241293017558,-3.42403893821585,59,161,425,0,0.25,-0.8864647249183346,-0.22161618122958365,0.07370489363993606,-0.2953210748695197,-0.22161618122958365,,
1-0,C,REFUGE,macro,delta_pre,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.6163445397581905,-0.6949655089277726,-1.6322089898390821,0.553672398173962,-2.3485454346558186,-1.9314263267108345,34,78,258,0,0.25,-0.6163445397581905,-0.15408613493954762,0.03424299410907443,-0.18832912904862206,-0.15408613493954762,,
1-0,C,REFUGE,macro,delta_step,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.0013687938477493287,-0.0018551145183671736,-0.030682632864959203,0.025987198430140523,-0.1197059887058387,-0.050694955543494596,34,152,184,0,0.25,-0.0013687938477493287,-0.0003421984619373322,0.002251284796016561,-0.002593483257953893,-0.0003421984619373322,,
1-0,C,REFUGE,macro,delta_post,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,-0.6177133336059398,-0.7151675665976107,-1.632507268749631,0.5627808536578449,-2.3636757382393725,-1.936318346349652,34,80,256,0,0.25,-0.6177133336059398,-0.15442833340148496,0.03442625301506412,-0.18885458641654906,-0.15442833340148496,,
1-0,C,REFUGE_Valid,macro,delta_pre,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,6.337010914980056,6.211018236963408,3.1872422304404022,9.868771306086849,-7.780963579821737,1.9885925204243207,74,731,5,0,0.25,6.337010914980056,1.584252728745014,1.5897078199673271,-0.005455091222313013,1.584252728745014,,
1-0,C,REFUGE_Valid,macro,delta_step,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,0.008212954734979015,0.009104209955987486,-0.02304943482485111,0.03848507096240539,-0.24967399268935964,-0.05640522893810339,74,497,239,0,0.25,0.008212954734979013,0.0020532386837447533,0.003978692070809397,-0.001925453387064644,0.0020532386837447533,,
1-0,C,REFUGE_Valid,macro,delta_post,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,6.345223869715036,6.214277289974081,3.2034192674192035,9.862699794489593,-7.781159893709461,2.0015017152804,74,731,5,0,0.25,6.345223869715035,1.5863059674287587,1.59176259922082,-0.005456631792061209,1.5863059674287587,,
4-0,C,ALL,OD,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.07144470830717999,0.0,-1.76571984042684,2.157411280707479,-8.166915994532175,-2.6359579025310516,170,845,792,58,1.0,0.06188098041078403,0.06188098041078403,0.6459950308187722,-0.5841140504079881,0.030940490205392013,,
4-0,C,ALL,OD,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.0015745396374471836,-0.0005828125213724888,-0.028963649193616447,0.026551064551426865,-1.4295089547237296,-0.07472861495914408,170,767,870,58,1.0,9.274833701880921e-05,9.274833701880921e-05,0.009264172300392238,-0.00917142396337343,4.6374168509404605e-05,,
4-0,C,ALL,OD,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.0698701686697328,0.0,-1.7693802847363116,2.158887542877318,-8.264040178131808,-2.6340454358271117,170,844,793,58,1.0,0.06197372874780284,0.06197372874780284,0.647494436451798,-0.5855207077039952,0.03098686437390142,,
4-0,C,Drishti_GS,OD,delta_pre,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,-0.2947493591822809,-0.7437042195163599,-1.6358822829701183,1.0281234037270934,-2.2372577537856273,-1.8593485782795298,4,11,26,0,0.25,-0.2947493591822809,-0.07368733979557023,0.10825891016070306,-0.1819462499562733,-0.03684366989778511,,
4-0,C,Drishti_GS,OD,delta_step,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,0.003874471023920023,0.0005485649925418556,-0.008753398088637709,0.02224434050613979,-0.019508396340469858,-0.014327333551015897,4,19,18,0,0.25,0.003874471023920023,0.0009686177559800058,0.0017261343513284852,-0.0007575165953484794,0.0004843088779900029,,
4-0,C,Drishti_GS,OD,delta_post,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,-0.2908748881583609,-0.7565851415605351,-1.624765601359644,1.0406752978043385,-2.2421829661955144,-1.8555996334219067,4,11,26,0,0.25,-0.2908748881583609,-0.07271872203959022,0.10931933735488748,-0.1820380593944777,-0.03635936101979511,,
4-0,C,ORIGA,OD,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.08407068824868438,0.10064243786904115,-1.5154863253709792,1.140465295118588,-3.764716877988917,-2.2910772234524726,59,317,269,0,0.25,-0.08407068824868438,-0.021017672062171096,0.09506239915648937,-0.11608007121866047,-0.010508836031085548,,
4-0,C,ORIGA,OD,delta_step,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.003200792463436638,-0.003231102562210708,-0.03208643609585238,0.025769193061655926,-1.4295089547237296,-0.0923811164436684,59,239,347,0,0.25,-0.0032007924634366385,-0.0008001981158591596,0.0028879559776861666,-0.003688154093545326,-0.0004000990579295798,,
4-0,C,ORIGA,OD,delta_post,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,-0.08727148071212103,0.09102671188339428,-1.5254838964883461,1.1243494000598346,-3.7620673079418623,-2.2976444776655485,59,316,270,0,0.25,-0.08727148071212103,-0.021817870178030257,0.09503364401372734,-0.11685151419175759,-0.010908935089015128,,
4-0,C,REFUGE,OD,delta_pre,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.6992980776359878,0.6153623374748918,-1.4509799632906066,2.9352539651991734,-6.275121353396557,-2.7276464154113347,34,201,77,58,0.25,0.6992980776359878,0.17482451940899696,0.26506264177471706,-0.09023812236572007,0.08741225970449848,,
4-0,C,REFUGE,OD,delta_step,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.0017843985336293753,0.0,-0.019854145509007992,0.025691655067518582,-0.13141595622880686,-0.04071574107237928,34,154,124,58,0.25,0.0017843985336293753,0.0004460996334073438,0.002038158346995151,-0.0015920587135878073,0.0002230498167036719,,
4-0,C,REFUGE,OD,delta_post,POST_HOC_EXPLORATORY,336,336,336,0,DESCRIPTIVE,0.7010824761696173,0.6096666046084991,-1.4878444285847223,2.909572781352601,-6.2466394162863565,-2.7280975819475732,34,200,78,58,0.25,0.7010824761696173,0.17527061904240432,0.26557511709223813,-0.0903044980498338,0.08763530952120216,,
4-0,C,REFUGE_Valid,OD,delta_pre,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,-0.07295410856188644,-0.3968298968294661,-1.8875692076279051,2.5135080995692647,-8.166915994532175,-2.829212128808397,74,316,420,0,0.25,-0.07295410856188643,-0.018238527140471607,0.1776110797268627,-0.1958496068673343,-0.009119263570235804,,
4-0,C,REFUGE_Valid,OD,delta_step,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,-0.0020870837460375234,-0.0009180154723864575,-0.031064025610113788,0.027935321935427027,-0.336657684800457,-0.07714164938108152,74,355,381,0,0.25,-0.0020870837460375234,-0.0005217709365093809,0.002611923624382436,-0.0031336945608918167,-0.00026088546825469043,,
4-0,C,REFUGE_Valid,OD,delta_post,POST_HOC_EXPLORATORY,736,736,736,0,DESCRIPTIVE,-0.07504119230792396,-0.4240439918548873,-1.889318694414122,2.5034890033226986,-8.264040178131808,-2.82413023926266,74,317,419,0,0.25,-0.07504119230792396,-0.01876029807698099,0.17756633799094512,-0.1963266360679261,-0.009380149038490495,,
4-0,C,ALL,OC,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.14940269277228208,0.0,-2.2769528990625276,2.0982689453160983,-13.497051694660167,-4.045895994688004,170,797,840,58,1.0,-1.173998157512166,-1.173998157512166,0.627798074932681,-1.801796232444847,-0.586999078756083,,
4-0,C,ALL,OC,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-6.135487690974593e-05,-4.6849569756091114e-05,-0.04626250977661641,0.03888027207257497,-0.5387106123784235,-0.08617155207962301,170,787,850,58,1.0,-0.002377906685908822,-0.002377906685908822,0.014033393101209735,-0.01641129978711856,-0.001188953342954411,,
4-0,C,ALL,OC,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.14946404764919183,0.0,-2.2902612369382664,2.090075455608172,-10.178518324196775,-4.026477479800677,170,796,841,58,1.0,-1.1763760641980747,-1.1763760641980747,0.6265170719917978,-1.8028931361898726,-0.5881880320990374,,
4-0,C,Drishti_GS,OC,delta_pre,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,-3.9187875757375337,-5.574082763547445,-6.687146982901834,3.9652812177680445,-7.646379620255615,-7.145059607336481,4,6,31,0,0.25,-3.9187875757375337,-0.9796968939343834,0.19691062807406906,-1.1766075220084524,-0.4898484469671917,,
4-0,C,Drishti_GS,OC,delta_step,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,-0.00806932717939661,-0.003466427091161961,-0.05043722527183263,0.031235825643400973,-0.08456491336810856,-0.06894558548124952,4,15,22,0,0.25,-0.00806932717939661,-0.0020173317948491525,0.0023615447585398487,-0.004378876553389002,-0.0010086658974245762,,
4-0,C,Drishti_GS,OC,delta_post,POST_HOC_EXPLORATORY,37,37,37,0,DESCRIPTIVE,-3.92685690291693,-5.617373427214567,-6.700872738698732,3.9284642634395412,-7.64648644160021,-7.129712371845326,4,6,31,0,0.25,-3.9268569029169305,-0.9817142257292326,0.19632482132797388,-1.1780390470572064,-0.4908571128646163,,
4-0,C,ORIGA,OC,delta_pre,POST_HOC_EXPLORATORY,586,586,586,0,DESCRIPTIVE,0.040657430182050786,0.12436380007556025,-2.1427113888249103,2.0575253466429047,-13.497051694660167,-3.0741854888893223,59,317,269,0,0.25,0.04065743018205078,0.010164357545512695,0.15964433242204012,-0.14947997487652745,0.005082178772756347,,
