stream,control,channel,metric,inferential_status,n_rows,n_unique,n_defined,n_missing,support,mean,median,p10,p90,minimum,worst_decile_mean,tail_count,positive,negative,zero,weight_sum,weighted_conditional_mean,signed_net,positive_mass,negative_mass,macro_contribution,primary_contribution,null_reason
1,C,OD,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.566336978500818,0.1065720423032559,-0.7651447071996699,3.0152484058587086,-4.157188061121374,-1.30122861085466,170,961,734,0,1.0,0.4009489436825382,0.4009489436825382,0.5862765339598519,-0.18532759027731371,0.2004744718412691,0.10023723592063455,
1,C,OC,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.26784863971166384,0.09426290967181217,-1.7975031655234261,2.8617569827403795,-7.257534597407695,-2.5845191096342424,170,884,811,0,1.0,0.07806301876553803,0.07806301876553803,0.5948596894275178,-0.5167966706619798,0.03903150938276902,0.01951575469138451,
1,C,OC,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.0031225915299579934,0.0033006904368306778,-0.031848013324102455,0.03825327072929099,-1.4455794902115713,-0.06477163884586751,170,937,746,12,1.0,0.004107319725044114,0.004107319725044114,0.014138980493673656,-0.010031660768629543,0.002053659862522057,0.0010268299312610285,
1,C,OC,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.27097123124162187,0.08984696804913028,-1.7869888866828205,2.8694391632438934,-6.700812616880487,-2.5830187781948513,170,891,804,0,1.0,0.08217033849058214,0.08217033849058214,0.5984160956293554,-0.5162457571387732,0.04108516924529107,0.020542584622645535,
1,C,macro,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.41545636474540987,0.09019704431523934,-1.1397718543635165,2.817266867446521,-4.388160772862973,-1.6468540314092648,170,900,795,0,1.0,0.23797533545185598,0.23797533545185598,0.5562774751691169,-0.31830213971726085,0.23797533545185598,0.11898766772592799,
1,C,macro,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.003197740125810042,0.003049801679928521,-0.018521548471051117,0.026799224423510286,-0.8492884402593432,-0.04548995479403265,170,990,705,0,1.0,0.003584305634704206,0.003584305634704206,0.00969108399671585,-0.006106778362011645,0.003584305634704206,0.001792152817352103,
1,C,macro,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.41865410487121996,0.09556811607000526,-1.134928632696282,2.8218780063538897,-4.086709064398079,-1.6391140125550823,170,904,791,0,1.0,0.24155964108656017,0.24155964108656017,0.5595670499164185,-0.31800740882985834,0.24155964108656017,0.12077982054328008,
1,R_SCALE,OD,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1.6640320284036165,1.0844514040090445,-0.9366796395020799,5.603227058738657,-5.2605841472952335,-1.7277706291853696,170,1230,465,0,1.0,1.1394950204564467,1.1394950204564467,1.3434075048603398,-0.20391248440389315,0.5697475102282233,0.28487375511411167,
1,R_SCALE,OD,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.0060803259215648315,0.004031114765510324,-0.015720251963975328,0.030310216728076968,-0.31390901942427263,-0.04360516933424818,170,1054,637,4,1.0,0.004720410224127834,0.004720410224127834,0.009772220354675515,-0.005051810130547681,0.002360205112063917,0.0011801025560319585,
1,R_SCALE,OD,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1.6701123543251812,1.0884711486531842,-0.9286060552677071,5.647450475703042,-5.262629254857117,-1.719301897730634,170,1228,467,0,1.0,1.1442154306805745,1.1442154306805745,1.3470421234745318,-0.20282669279395724,0.5721077153402873,0.28605385767014363,
1,R_SCALE,OC,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1.2818522999592794,1.3078808767982792,-2.0601551888008545,4.465121518375516,-6.380090747187708,-3.2390370641506627,170,1200,494,1,1.0,0.9555010828323593,0.9555010828323593,1.3306496161659334,-0.37514853333357384,0.4777505414161797,0.23887527070808984,
1,R_SCALE,OC,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.0043707327446458975,0.004348899352564217,-0.031238134795199813,0.038146038940846005,-0.930857123068364,-0.06391065025157167,170,955,730,10,1.0,0.002420372464500034,0.002420372464500034,0.013552500173432321,-0.011132127708932286,0.001210186232250017,0.0006050931161250085,
1,R_SCALE,OC,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1.2862230327039252,1.3265977414919732,-2.049420006822115,4.447504012944183,-6.392942177391944,-3.230455684158552,170,1197,495,3,1.0,0.9579214552968595,0.9579214552968595,1.333006717808718,-0.3750852625118585,0.47896072764842973,0.23948036382421486,
1,R_SCALE,macro,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1.472942164181448,1.157168009356866,-1.2050569787411844,4.955059366945262,-5.6613791149141655,-2.072453626518251,170,1224,471,0,1.0,1.047498051644403,1.047498051644403,1.2789038382131586,-0.23140578656875543,1.047498051644403,0.5237490258222015,
1,R_SCALE,macro,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.005225529333105364,0.0041996630354930176,-0.017502691516219925,0.02890795905153995,-0.41678809505264525,-0.040020074169156095,170,1043,652,0,1.0,0.003570391344313934,0.003570391344313934,0.009830882907706314,-0.00626049156339238,0.003570391344313934,0.001785195672156967,
1,R_SCALE,macro,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1.4781676935145533,1.1514269998578115,-1.1923861302432754,4.973779797849961,-5.667325215345574,-2.0641495687829927,170,1227,468,0,1.0,1.051068442988717,1.051068442988717,1.2815468133763186,-0.23047837038760166,1.051068442988717,0.5255342214943585,
1,R_SHUFFLE,OD,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1.8118357504265883,1.2253820238944684,-0.9668850126582669,5.926479585909974,-5.421417754876302,-1.8641016099829757,170,1250,445,0,1.0,1.2485083784111015,1.2485083784111015,1.4639229085347678,-0.21541453012366624,0.6242541892055508,0.3121270946027754,
1,R_SHUFFLE,OD,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.006079731630271116,0.003875867752029194,-0.014693219140559677,0.03253654664234206,-0.31361558355256136,-0.04315693546710845,170,1051,644,0,1.0,0.004628470591912154,0.004628470591912154,0.009682358999721828,-0.005053888407809674,0.002314235295956077,0.0011571176479780385,
1,R_SHUFFLE,OD,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1.8179154820568595,1.2341412759883355,-0.9745421423257085,5.945880371765508,-5.426651582539577,-1.8563681650068866,170,1250,445,0,1.0,1.2531368490030137,1.2531368490030137,1.467503976214068,-0.21436712721105425,0.6265684245015068,0.3132842122507534,
1,R_SHUFFLE,OC,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1.3770285675797052,1.416383868094158,-2.060878454037254,4.6845341853592855,-6.4564214709813825,-3.2677881636398944,170,1209,482,4,1.0,1.0256040521877237,1.0256040521877237,1.39801235853138,-0.3724083063436563,0.5128020260938618,0.2564010130469309,
1,R_SHUFFLE,OC,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.004402265007451106,0.004409331635635283,-0.03066219428673378,0.03948281617484926,-0.8932355209097622,-0.06263862477364307,170,957,727,11,1.0,0.0020663436495612095,0.0020663436495612095,0.013138704920600635,-0.011072361271039426,0.0010331718247806048,0.0005165859123903024,
1,R_SHUFFLE,OC,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1.3814308325871563,1.416140875802128,-2.0701041701161955,4.6551130949861355,-6.4553372965461335,-3.2593951456133774,170,1217,477,1,1.0,1.0276703958372848,1.0276703958372848,1.3996959963393527,-0.37202560050206795,0.5138351979186424,0.2569175989593212,
1,R_SHUFFLE,macro,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1.5944321590031467,1.2600147297276862,-1.2597180908151515,5.219919168619061,-5.8485944860303825,-2.1307356972342806,170,1245,450,0,1.0,1.1370562152994126,1.1370562152994126,1.3698961327121368,-0.23283991741272425,1.1370562152994126,0.5685281076497063,
1,R_SHUFFLE,macro,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.005240998318861111,0.0039278113075909005,-0.017729391065441292,0.028769462751814977,-0.4106080033358772,-0.03976161753499745,170,1054,641,0,1.0,0.003347407120736682,0.003347407120736682,0.00941503173667791,-0.006067624615941228,0.003347407120736682,0.001673703560368341,
1,R_SHUFFLE,macro,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,1.5996731573220078,1.2611635564151698,-1.2526230974142876,5.247845697286545,-5.839138369983285,-2.123419944607342,170,1246,449,0,1.0,1.1404036224201493,1.1404036224201493,1.3724593905858609,-0.2320557681657117,1.1404036224201493,0.5702018112100746,
4,C,OD,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-2.0201916565727487,-1.0417952981106993,-7.8449824134403086,2.5079484449521154,-14.38963209394744,-8.854510253370623,170,720,974,1,1.0,-0.6548235253405155,-0.6548235253405155,1.0022477634413773,-1.6570712887818928,-0.32741176267025773,,
4,C,OD,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.0025594023318818338,-0.0013196128757471115,-0.02420497741743759,0.019214738658448055,-1.0604764759073788,-0.06414714407838493,170,790,904,1,1.0,-0.001088618512739163,-0.001088618512739163,0.007047495979611114,-0.008136114492350277,-0.0005443092563695815,,
4,C,OD,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-2.0227510589046305,-1.0317438074649914,-7.859142409549887,2.5057814959202576,-14.347618473437535,-8.850320779364218,170,720,975,0,1.0,-0.6559121438532546,-0.6559121438532546,1.0032845728038886,-1.6591967166571433,-0.3279560719266273,,
4,C,OC,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-1.7500016483393863,-1.6710449168171095,-6.287608690020775,2.3221129766205064,-9.800678989752996,-7.280418890738596,170,520,1174,1,1.0,-1.0126658377972437,-1.0126658377972437,0.6638650158063384,-1.6765308536035821,-0.5063329188986219,,
4,C,OC,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.0014232655722043843,-0.0007878562361547381,-0.033207851102335435,0.030668440698821096,-0.5162583412763979,-0.06429901470718746,170,810,871,14,1.0,-0.000961397044296927,-0.000961397044296927,0.01056083747853469,-0.011522234522831618,-0.0004806985221484635,,
4,C,OC,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-1.7514249139115907,-1.6691084224446797,-6.292651698549693,2.32073167632657,-9.791366296855102,-7.283762980185315,170,520,1175,0,1.0,-1.0136272348415405,-1.0136272348415405,0.663615589555227,-1.6772428243967676,-0.5068136174207702,,
4,C,macro,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-1.8850966524560675,-1.2721169002013397,-6.9632898007550015,2.201665551641893,-9.137362203749149,-7.612922419749821,170,625,1069,1,1.0,-0.8337446815688796,-0.8337446815688796,0.7046352247871435,-1.538379906356023,-0.8337446815688796,,
4,C,macro,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.001991333952043109,-0.0014595200561160482,-0.023908736366257698,0.020250427097710154,-0.5689755672879606,-0.05041015873285234,170,773,922,0,1.0,-0.001025007778518045,-0.001025007778518045,0.006958051980708939,-0.007983059759226984,-0.001025007778518045,,
4,C,macro,delta_post,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-1.8870879864081107,-1.2634579584950458,-6.957050478619123,2.1884234281506685,-9.208763989189187,-7.6129727632257875,170,625,1070,0,1.0,-0.8347696893473976,-0.8347696893473976,0.7051904327067186,-1.5399601220541161,-0.8347696893473976,,
4,R_SCALE,OD,delta_pre,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,-0.780310740373943,-0.6534190185528956,-2.618527851581129,0.9856218236827037,-6.220322396268585,-3.0316004137713017,170,644,1050,1,1.0,-0.22818547129574443,-0.22818547129574443,0.4162424260737773,-0.6444278973695218,-0.11409273564787221,,
4,R_SCALE,OD,delta_step,POST_HOC_EXPLORATORY,1695,1695,1695,0,DESCRIPTIVE,0.00029948404997324633,0.00020367791417186254,-0.016785039599071183,0.018539565713989285,-0.7931936264112096,-0.040372674521049805,170,863,829,3,1.0,0.00018527605884128257,0.00018527605884128257,0.005979185372378823,-0.00579390931353754,9.263802942064129e-05,,
